,sentiment,content
1993,anger,"@bcollinstattoo yes, boo for soar throats and earaches!"
2573,happiness,@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee
1581,hate,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?"
1446,love,@kellanator I don't mind Sam. But I liked Kate more.  I don't like Chris. He's smarmy.
1397,hate,rah rah. youtube isn't working again. oh great
15506,anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
2619,anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
2288,happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
3909,anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
445,hate,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
1661,hate,Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive
7197,anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
95,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1234,hate,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
7698,anger,@BigCatJared   What did I do to you!  sheesh
132,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
1637,happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though"
29917,anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
12579,anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
210,love,@bobbyedner i missed the game
1003,happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
1848,happiness,"@sueveeyall Haha, I wish I could"
12385,anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
1948,happiness,wishes she would call him ...   *hc*
17771,anger,FUCK. slept in
283,hate,@lanacaitlin  hahaha well its try its so ugly
80,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
8251,anger,MOtherfuck QW
47,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1460,happiness,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
13,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
2403,love,I miss you sweetie!
2523,love,"Oh Cr*p.... Here goes my head again, &quot;I'm Spinning Around&quot;"
107,hate,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1950,love,@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)
121,hate,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
302,hate,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
262,hate,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
1316,love,@MitchBenn Waah! You were in Aberdeen? F**K why do I miss all the best gigs?!
185,sadness,Took a shift tomorrow.    I don't really feel like working right now.
1978,love,Ok so I did shed a few tears watching the preview for next weeks Medium. I'm so scared. I'm so addicted to this show. I love it
397,love,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
233,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1781,love,"standing here open hands and i know i can't do this alone hold on, hold on, baby, hold on...geeez"
1183,hate,"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
505,hate,@juliaiiivir Hey! That's my school! I hate that place.
371,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
314,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
2346,love,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
1251,hate,says BAD TRIP! (angry)  http://plurk.com/p/wxshi
439,love,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
368,hate,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
353,happiness,english class! working on interactive orals
1016,love,"Trying to learn how to do this &quot;twitter&quot; thing... I'll get there. Welcome to all my followers, though Im not that interesting"
2259,love,@BK_II It's foggy here
543,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
1520,hate,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!
84,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1362,hate,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition
276,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
2043,love,"@Jessicaveronica MARRRRRRRRRRY ME! &lt;3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!"
1110,hate,dam it keeps rainin on me
2669,happiness,job centre bound. oh yay.
997,hate,Bummed that F! F! F! broke up
105,hate,"@soviet_star Damn, that sucks"
191,sadness,Too bad the Red Devils.. disappointing to say the least
372,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
1156,love,@MaritessDeLeon aww tessy wanna hug?
106,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1975,love,"@thoughtmecca still on track to move back, albeit in 2-3 years.  However, my buddy Jen is now moving with me, so we're on a FAST track!"
242,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
1913,love,im gonna go to bed alone again.  Sad day for me. but itll get better.
1326,hate,This train is so squeaky its givin me a sore head its bad enough i have to go to work!
2617,happiness,"Wow what a sunny day,  just recovering some erased files"
578,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
9998,anger,#twitterfails fucking hard right now...this is annoying
3565,anger,"@LeahMul awh, thats not good,   get better soon!"
6497,anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
212,hate,@tiffalo cuz airlines are super lame.
236,sadness,Up late with nothin 2 do.....
2440,love,http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?
698,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
8857,anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
174,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1283,love,@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...so sad though...
1988,happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
2165,love,"@sweetavalanche haha yeah i know  yeah, things are okay, pretty much the same. i'm slowly sorting things out.. exams are coming D: haha"
970,hate,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
2435,love,"Just finished The Village. So in love,could watch it over and over! Wonder why I can't get to sleep tonight"
269,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
351,sadness,Have to go to the dreaded DMV tomorrow
1281,hate,omg!!! mcdonalds combo and wendys sundae = puke material
410,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
384,hate,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
784,love,big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want...cnt afford it yet tho
2065,happiness,huhuhu still working to get new clients in motion graphics
23830,anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
635,hate,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
1636,happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!
697,hate,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
11136,anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
2096,happiness,@Lara82 Yeah  He was such a good..erm...entertainment )
226,sadness,Had to cancel wow for now
119,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
14684,anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
256,hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
2405,love,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant
1457,hate,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.
3515,anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
281,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
860,hate,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
2705,happiness,@shaundiviney 04182012154 send me one PLEASE!! I TXTD IN BUT I GOT A NEW PHONE
301,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
365,hate,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
12590,anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
16615,anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
24681,anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
17,sadness,So sleepy again and it's not even that late. I fail once again.
732,love,@Anna_Viola love it! By the way I didn't end up having time to go this week  I'm sooooo sorry! Next week for sure!
370,sadness,@RealBlackWidow But but I dun wanna
14082,anger,sam and sean are teasing me saying they are gonna get wings without me
1308,hate,@iamivanxxx That sucks to hear. I hate days like that
2135,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
254,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1276,happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
1025,hate,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
8,sadness,@charviray Charlene my love. I miss you
14112,anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
2790,love,No http://twtvite.com/3koyqo #twtvite #aptw Have to miss this now because of other engagements
1499,hate,Another Day gone by....  Have to wake up early again tomorrow
64,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1264,love,@cheri two macaroons go into a bar....one says oh your a nut.  wow I need to get out more.
2392,happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
30,hate,It is so annoying when she starts typing on her computer in the middle of the night!
1243,hate,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !
135,sadness,Now I am depressed after watching so you think you can dance
487,hate,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
327,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
4378,anger,Confuzzled
321,sadness,no more arrested development. i am sad.
1509,love,@thomasfiss i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?
2064,love,using my brothers G1 phone.. love it! driving to vegas... my phone died this morning and my charger broke
1586,hate,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;("
13439,anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
7980,anger,Internet is painfully slow today
313,sadness,my teeth and head hurts
8683,anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
408,love,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
28,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
24880,anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
2121,happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
2638,happiness,is wondering where all her friends went...
6895,anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
651,love,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
22194,anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
1044,happiness,@allyycase suuure
97,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
126,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
173,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
2716,happiness,@MarkStanto why thx! #webdu I was only at the conf on Thurs
624,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
344,sadness,I dont feel good AT ALL. fuckkk
17243,anger,I am beginning to think sun blcok is a haox.
1640,happiness,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!"
275,sadness,I haven't seen Muffin in two whole days!
1495,happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
17022,anger,at famous dave's with my mom. so hungry.
361,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
5387,anger,@mashable Link to ff &quot;how it works&quot; is broke!
376,sadness,feels sick to my stomach and idkk whyy
1644,hate,@digicho I'm inclined to think it's stupid.
15187,anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
211,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
2350,happiness,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her."
2415,love,@IljaCoolen Thanks! Just used a therm to pry it out. Was like concrete! Blood and everything!  He's doing a lot better now. Thank god.
588,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
2517,happiness,Sleep....take two....this better work!
933,hate,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
553,hate,my sister is a douchebag
160,hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
2087,happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
364,sadness,God I just want to sleep.
491,love,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
216,hate,I'm so very tired...and have insomnia.
308,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
2847,love,"Oh ffs :@ a don't get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@"
136,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
4890,anger,@eboogiee smh Your whin with that comment
2687,love,@Dichenlachman oh I love oreos!! U can't get many varieties in the uk
131,love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
841,hate,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
1739,love,@mimiwinfrey i wish i could find my camera cause i really wanna record some too...
2273,happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.
835,hate,i just murdered two fucking mouses!!! now i cant sleep
1557,love,Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
2773,love,@HaylieK can't do class tomorrow audition at 10am  but free from 11 to 3 if u wanna work out!
1164,hate,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
879,love,@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute
1084,hate,Its so Fucking hot! Damn no air conditioning.
23140,anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
981,love,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx
99,hate,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
263,hate,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
16034,anger,@ACMcWhale I always feel guilty about it
11694,anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
1106,hate,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue"
943,love,"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now"
1160,love,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED
1324,happiness,@assembled ive been there before  haha
127,sadness,Is miserable  i feel like im gona cry  sux!
214,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
186,sadness,but now i have no money for a phone
399,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
974,love,@markiti The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i'll be home around 7 pm!!!  Xxx
10727,anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
2085,love,@SexyKellyC hey chocolate chips is good.  i want a snack too but i'm out of snacks.
18522,anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
527,anger,Working   But it's Fridaaaayyyyy
1882,happiness,good morning people !! in good old germany is it soooo cold
62,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
3717,anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
525,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
6,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
2224,happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
19224,anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
315,hate,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
1173,hate,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.
1289,hate,But why do I have to spend it in the office
1654,hate,Hates untalented bitches being mean to my talented friends
1835,love,"@LishaKatherine i hope your doing great! I, your friends, and california miss you!!!"
1740,happiness,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y"
1494,happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
1424,love,I really wanted to watch Mary Poppins and sing along.
2125,happiness,@RASHIDIAN Come hang out wif meeee
19480,anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
705,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
1336,happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
1356,happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
462,love,there's really no android twitter app of Tweetie's calibre
163,sadness,I miss my puppy
103,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
2252,love,@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas
